,day,symbol,deposit,borrow
2790,2021-07-18T00:00:00+00:00,WETH,3331843696.6082134,141489826.8683426
2791,2021-07-17T00:00:00+00:00,WETH,3294853992.3226185,139558529.13309184
2792,2021-07-16T00:00:00+00:00,WETH,3365928409.536689,134429756.39412284
2793,2021-07-15T00:00:00+00:00,WETH,2707194071.883032,137261032.6220951
2794,2021-07-14T00:00:00+00:00,WETH,2671270274.621886,132846688.76710054
2795,2021-07-13T00:00:00+00:00,WETH,2668113517.491155,138814873.8037079
2796,2021-07-12T00:00:00+00:00,WETH,2788386306.9228735,131470170.34440522
2797,2021-07-11T00:00:00+00:00,WETH,2778804994.8520465,138845126.84761816
2798,2021-07-10T00:00:00+00:00,WETH,2807801643.4852962,136449483.1908148
2799,2021-07-09T00:00:00+00:00,WETH,2634991755.949243,137046270.23495883
2800,2021-07-08T00:00:00+00:00,WETH,2855658802.8961234,155896857.2411222
2801,2021-07-07T00:00:00+00:00,WETH,2931919433.2658443,191013648.7719745
2802,2021-07-06T00:00:00+00:00,WETH,2761503056.3067985,180332300.27775633
2803,2021-07-05T00:00:00+00:00,WETH,2892466035.3967767,182817374.54160175
2804,2021-07-04T00:00:00+00:00,WETH,2758132524.7701316,177737367.53867146
2805,2021-07-03T00:00:00+00:00,WETH,2647507057.6898828,176447006.0723036
2806,2021-07-02T00:00:00+00:00,WETH,2593936161.2290354,175168662.51069662
2807,2021-07-01T00:00:00+00:00,WETH,2803483154.37053,182955188.455489
2808,2021-06-30T00:00:00+00:00,WETH,2725268104.2180777,178718900.50344962
2809,2021-06-29T00:00:00+00:00,WETH,2624186523.141397,171900888.1675011
2810,2021-06-28T00:00:00+00:00,WETH,2477257356.0884504,164195967.65805033
2811,2021-06-27T00:00:00+00:00,WETH,2265465445.8922195,149773113.8947336
2812,2021-06-26T00:00:00+00:00,WETH,2244415321.6762295,148148031.7140705
2813,2021-06-25T00:00:00+00:00,WETH,2529066315.6852093,250920735.19295767
2814,2021-06-24T00:00:00+00:00,WETH,2369669768.8368297,248364513.07528314
2815,2021-06-23T00:00:00+00:00,WETH,2239761643.924384,240824973.5011527
2816,2021-06-22T00:00:00+00:00,WETH,2214623601.3572693,242200801.53197092
2817,2021-06-21T00:00:00+00:00,WETH,2525922630.5277247,285080795.49573976
2818,2021-06-20T00:00:00+00:00,WETH,2494251618.2002993,281475287.0430448
2819,2021-06-19T00:00:00+00:00,WETH,2525075401.221479,282828144.0233785
2820,2021-06-18T00:00:00+00:00,WETH,2691475238.902499,269894804.40476257
2821,2021-06-17T00:00:00+00:00,WETH,2615902026.916787,263360641.50654307
2822,2021-06-16T00:00:00+00:00,WETH,2556265837.260912,154364721.03106356
2823,2021-06-15T00:00:00+00:00,WETH,2785402135.743373,152868541.88437447
2824,2021-06-14T00:00:00+00:00,WETH,2753390799.4367743,149386401.59411725
2825,2021-06-13T00:00:00+00:00,WETH,2630473306.1180253,141645652.77323002
2826,2021-06-12T00:00:00+00:00,WETH,2560497889.739317,139039038.45963806
2827,2021-06-11T00:00:00+00:00,WETH,2711811854.8454285,145032426.74841678
2828,2021-06-10T00:00:00+00:00,WETH,2949455716.671988,230445789.5361291
2829,2021-06-09T00:00:00+00:00,WETH,2882343125.7496424,222111846.98577702
2830,2021-06-08T00:00:00+00:00,WETH,2887187664.661518,228907764.466974
2831,2021-06-07T00:00:00+00:00,WETH,2964629327.5174007,245664813.93244517
2832,2021-06-06T00:00:00+00:00,WETH,2820243372.2168226,242056552.79741836
2833,2021-06-05T00:00:00+00:00,WETH,2860593458.804927,248317422.51214454
2834,2021-06-04T00:00:00+00:00,WETH,2930916121.4409695,258803223.56256974
2835,2021-06-03T00:00:00+00:00,WETH,2793012204.7541904,251177880.31379226
2836,2021-06-02T00:00:00+00:00,WETH,2665877163.5173345,243351854.9061141
2837,2021-06-01T00:00:00+00:00,WETH,2458583397.235698,79976707.67782515
2838,2021-05-31T00:00:00+00:00,WETH,2005414322.5590875,69253777.6963381
2839,2021-05-30T00:00:00+00:00,WETH,1779081836.0970633,70784975.72400236
2840,2021-05-29T00:00:00+00:00,WETH,1793751952.1529877,76211384.26150341
2841,2021-05-28T00:00:00+00:00,WETH,1985338208.3403628,85555412.27542447
2842,2021-05-27T00:00:00+00:00,WETH,2087580220.1930697,78691592.46861205
2843,2021-05-26T00:00:00+00:00,WETH,1968676729.4044378,75645021.51093166
2844,2021-05-25T00:00:00+00:00,WETH,1827784445.1203825,74645609.57143582
2845,2021-05-24T00:00:00+00:00,WETH,1488111935.050194,60109242.48895741
2846,2021-05-23T00:00:00+00:00,WETH,1605958670.915461,66020021.74833707
2847,2021-05-22T00:00:00+00:00,WETH,1944404711.286167,70512412.70054838
2848,2021-05-21T00:00:00+00:00,WETH,2384211619.8669286,81265207.36768652
2849,2021-05-20T00:00:00+00:00,WETH,2103238202.5969312,147037087.07073298
2850,2021-05-19T00:00:00+00:00,WETH,3125441862.4535084,103878004.70632681
2851,2021-05-18T00:00:00+00:00,WETH,2830283044.4285836,107308302.21001044
2852,2021-05-17T00:00:00+00:00,WETH,3115724092.0725946,123106267.59971197
2853,2021-05-16T00:00:00+00:00,WETH,3182168869.8061595,116520117.46165091
2854,2021-05-15T00:00:00+00:00,WETH,3549263678.24447,131616082.17638247
2855,2021-05-14T00:00:00+00:00,WETH,3209973945.820688,118271493.30998282
2856,2021-05-13T00:00:00+00:00,WETH,3103457058.952024,122531357.37996353
2857,2021-05-12T00:00:00+00:00,WETH,3313559815.741324,130839436.33380577
2858,2021-05-11T00:00:00+00:00,WETH,3119155517.3125186,124286652.03260316
2859,2021-05-10T00:00:00+00:00,WETH,3089782767.8420444,122781818.0898152
2860,2021-05-09T00:00:00+00:00,WETH,3025143955.9453645,122670466.90463378
2861,2021-05-08T00:00:00+00:00,WETH,2701600637.384829,127196539.40749332
2862,2021-05-07T00:00:00+00:00,WETH,2815955854.370467,137899087.26935375
2863,2021-05-06T00:00:00+00:00,WETH,2888926130.3475957,138312648.2443326
2864,2021-05-05T00:00:00+00:00,WETH,2640647816.4866295,126874533.9666774
2865,2021-05-04T00:00:00+00:00,WETH,2798007600.6879487,132794552.26268505
2866,2021-05-03T00:00:00+00:00,WETH,2335551342.5062485,116608229.00389531
2867,2021-05-02T00:00:00+00:00,WETH,2140909491.300403,122736938.90962835
2868,2021-05-01T00:00:00+00:00,WETH,1989465961.5797865,115324640.00494677
2869,2021-04-30T00:00:00+00:00,WETH,1990695029.7648408,148133973.16775286
2870,2021-04-29T00:00:00+00:00,WETH,1945788370.083978,120130592.72511107
2871,2021-04-28T00:00:00+00:00,WETH,1786721000.1830947,108268349.91814615
2872,2021-04-27T00:00:00+00:00,WETH,1595663548.6949017,99968870.24429484
2873,2021-04-26T00:00:00+00:00,WETH,1325633777.451162,84718911.68301252
2874,2021-04-25T00:00:00+00:00,WETH,861936412.4347789,86729967.3826545
2875,2021-04-24T00:00:00+00:00,WETH,880654857.3861115,101474684.57883598
2876,2021-04-23T00:00:00+00:00,WETH,861932633.8726466,105000903.70725472
2877,2021-04-22T00:00:00+00:00,WETH,907659596.3659931,106674226.33113222
2878,2021-04-21T00:00:00+00:00,WETH,884926738.3016831,112481764.44631115
2879,2021-04-20T00:00:00+00:00,WETH,824389627.6501881,106828824.85271466
2880,2021-04-19T00:00:00+00:00,WETH,848479764.4840713,110282453.29595059
2881,2021-04-18T00:00:00+00:00,WETH,867978542.938566,101543514.58605447
2882,2021-04-17T00:00:00+00:00,WETH,873710054.631616,109730924.69271098
2883,2021-04-16T00:00:00+00:00,WETH,880875928.4761988,98354605.69592883
2884,2021-04-15T00:00:00+00:00,WETH,853037524.5930017,92392677.10930304
2885,2021-04-14T00:00:00+00:00,WETH,821480088.2999834,89498721.35566461
2886,2021-04-13T00:00:00+00:00,WETH,759458556.5736825,85428567.94001518
2887,2021-04-12T00:00:00+00:00,WETH,753501322.2102598,89049373.04612873
2888,2021-04-11T00:00:00+00:00,WETH,743440857.5287857,90398069.89521363
2889,2021-04-10T00:00:00+00:00,WETH,714539527.0126661,95986939.03257594
2890,2021-04-09T00:00:00+00:00,WETH,708674101.4049072,102185010.62393783
2891,2021-04-08T00:00:00+00:00,WETH,674811756.3248311,104700625.04244882
2892,2021-04-07T00:00:00+00:00,WETH,742283361.851664,103729555.27406882
2893,2021-04-06T00:00:00+00:00,WETH,751572340.7824682,102213095.85015853
2894,2021-04-05T00:00:00+00:00,WETH,718694295.925357,98917058.87201402
2895,2021-04-04T00:00:00+00:00,WETH,729697056.9272742,95643902.78800566
2896,2021-04-03T00:00:00+00:00,WETH,776794318.943619,103231596.22723125
2897,2021-04-02T00:00:00+00:00,WETH,729223377.2301378,78009085.32286717
2898,2021-04-01T00:00:00+00:00,WETH,701303060.8317896,70258862.54418872
2899,2021-03-31T00:00:00+00:00,WETH,706301145.8914874,71221960.12954022
2900,2021-03-30T00:00:00+00:00,WETH,737649226.6479397,74519476.1109002
2901,2021-03-29T00:00:00+00:00,WETH,643743443.0408653,55954103.614198565
