Date,herfindahl_volume,herfindahl_inflow_centrality,herfindahl_outflow_centrality,herfindahl_betweenness_centrality_count,herfindahl_betweenness_centrality_volume,herfindahl_tvl,total_volumes,S&P,S&P_volatility,Gas_fee,Gas_fee_volatility,boom,bust
2016-03-17,,,,,,,,,,3.0867751350860005e-07,0.13177002093366147,0,0
2016-03-18,,,,,,,,,,2.827562016600001e-07,0.1308708129729691,0,0
2016-03-19,,,,,,,,,,3.0939724418165004e-07,0.13010727531397273,0,0
2016-03-20,,,,,,,,,,2.6815344182272005e-07,0.13298701937958252,0,0
2016-03-21,,,,,,,,,,3.1359854571255e-07,0.13567455112406987,0,0
2016-03-22,,,,,,,,,,2.577453631372001e-07,0.1402712675408422,0,0
2016-03-23,,,,,,,,,,3.0129756575439e-07,0.13314686833129596,0,0
2016-03-24,,,,,,,,,,2.7621359979486005e-07,0.13371600720085572,0,0
2016-03-25,,,,,,,,,,3.0065968021789e-07,0.13449967362459572,0,0
2016-03-26,,,,,,,,,,2.76100550693e-07,0.1349021700756644,0,0
2016-03-27,,,,,,,,,,2.45343267939e-07,0.13634614816879279,0,0
2016-03-28,,,,,,,,,,2.697429289659e-07,0.1374421969465283,0,0
2016-03-29,,,,,,,,,,2.9030340953691e-07,0.13809135143223455,0,0
2016-03-30,,,,,,,,,,3.487600158372001e-07,0.1420111817714984,0,0
2016-03-31,,,,,,,,,,2.7319798037427005e-07,0.14336961469094914,0,0
2016-04-01,,,,,,,,,,2.6853357163467e-07,0.13373860698094264,0,0
2016-04-02,,,,,,,,,,2.6633034272709e-07,0.1329866948777396,0,0
2016-04-03,,,,,,,,,,2.6292724010046e-07,0.1328557664776175,0,0
2016-04-04,,,,,,,,,,2.560915005849e-07,0.1328563877757321,0,0
2016-04-05,,,,,,,,,,2.3746346882668006e-07,0.13314524324559943,0,0
2016-04-06,,,,,,,,,,2.5652381392482e-07,0.13404477958426486,0,0
2016-04-07,,,,,,,,,,2.3103362738736002e-07,0.13288942890014,0,0
2016-04-08,,,,,,,,,,2.3048285915574e-07,0.1295582143606491,0,0
2016-04-09,,,,,,,,,,2.1411224600020006e-07,0.12121139632377353,0,0
2016-04-10,,,,,,,,,,2.0836930978160006e-07,0.12121224419891483,0,0
2016-04-11,,,,,,,,,,2.0631044395504002e-07,0.11613265639648576,0,0
2016-04-12,,,,,,,,,,1.7387026582562002e-07,0.11294427086400703,0,0
2016-04-13,,,,,,,,,,2.0248022877036e-07,0.1093286475258524,0,0
2016-04-14,,,,,,,,,,2.1843145896720006e-07,0.11064064712997576,0,0
2016-04-15,,,,,,,,,,1.8781347283920002e-07,0.11328938418592713,0,0
2016-04-16,,,,,,,,,,1.9477979031808002e-07,0.11335857517293307,0,0
2016-04-17,,,,,,,,,,2.1893211796050002e-07,0.11499776838001795,0,0
2016-04-18,,,,,,,,,,2.0241493211888e-07,0.1141288155047583,0,0
2016-04-19,,,,,,,,,,2.0102521367737e-07,0.11150220625251477,0,0
2016-04-20,,,,,,,,,,1.9850838614362e-07,0.10699597925116933,0,0
2016-04-21,,,,,,,,,,2.0059775086464006e-07,0.10145661450160245,0,0
2016-04-22,,,,,,,,,,1.8140792831919006e-07,0.09786688145892544,0,0
2016-04-23,,,,,,,,,,1.9386210289041005e-07,0.09808778712874142,0,0
2016-04-24,,,,,,,,,,1.83186449488e-07,0.09667336848740213,0,0
2016-04-25,,,,,,,,,,1.7010483657778e-07,0.09642178371823042,0,0
2016-04-26,,,,,,,,,,1.800993593175e-07,0.09533284490586398,0,0
2016-04-27,,,,,,,,,,1.7691789154347e-07,0.09324540154910237,0,0
2016-04-28,,,,,,,,,,1.690031070661e-07,0.09191805163699139,0,0
2016-04-29,,,,,,,,,,1.6933418944432002e-07,0.0838146172944803,0,0
2016-04-30,,,,,,,,,,2.0829458385385002e-07,0.08344405162415429,0,0
2016-05-01,,,,,,,,,,2.1089438260836002e-07,0.08351917769621257,0,0
2016-05-02,,,,,,,,,,2.380623665468e-07,0.08678749743633797,0,0
2016-05-03,,,,,,,,,,2.2765576377768e-07,0.08709697432932466,0,0
2016-05-04,,,,,,,,,,2.2333486568887005e-07,0.08704558945786509,0,0
2016-05-05,,,,,,,,,,2.3783225635103e-07,0.08682275872722706,0,0
2016-05-06,,,,,,,,,,2.1356230837086e-07,0.08771278504544794,0,0
2016-05-07,,,,,,,,,,2.1499883952840001e-07,0.08573243349785017,0,0
2016-05-08,,,,,,,,,,2.200496568e-07,0.0858599286811383,0,0
2016-05-09,,,,,,,,,,2.1455588033196007e-07,0.08490732088747724,0,0
2016-05-10,,,,,,,,,,2.2153564331652002e-07,0.08493993559864794,0,0
2016-05-11,,,,,,,,,,2.3556344398769007e-07,0.08558903628990798,0,0
2016-05-12,,,,,,,,,,2.558411564267e-07,0.08000112538825628,0,0
2016-05-13,,,,,,,,,,2.944250638167201e-07,0.0793142923508636,0,0
2016-05-14,,,,,,,,,,2.403489514779601e-07,0.08753929827215823,0,0
2016-05-15,,,,,,,,,,2.230513459559e-07,0.08393769161567291,0,0
2016-05-16,,,,,,,,,,2.510510588808e-07,0.08626680010976931,0,0
2016-05-17,,,,,,,,,,2.8016775032694004e-07,0.08596584914568417,0,0
2016-05-18,,,,,,,,,,3.122935268154e-07,0.08624435383305962,0,0
2016-05-19,,,,,,,,,,3.410867863399501e-07,0.08717504153151077,0,0
2016-05-20,,,,,,,,,,3.242690390333101e-07,0.08790142690415072,0,0
2016-05-21,,,,,,,,,,3.199127425915501e-07,0.08806586869924679,0,0
2016-05-22,,,,,,,,,,3.256228379629401e-07,0.08529237653693357,0,0
2016-05-23,,,,,,,,,,3.0999433313105e-07,0.08571036511410365,0,0
2016-05-24,,,,,,,,,,2.951917360667401e-07,0.08549733075052887,0,0
2016-05-25,,,,,,,,,,2.8968317298508e-07,0.08407516504100945,0,0
2016-05-26,,,,,,,,,,2.7973722088919e-07,0.08426871418918008,0,0
2016-05-27,,,,,,,,,,2.6376059146965e-07,0.08514152138075906,0,0
2016-05-28,,,,,,,,,,3.0919145143444e-07,0.08838348962225674,0,0
2016-05-29,,,,,,,,,,2.9075379293932e-07,0.08958421361017217,0,0
2016-05-30,,,,,,,,,,2.888603816966401e-07,0.08222617015504421,0,0
2016-05-31,,,,,,,,,,3.1488098393805e-07,0.08337016947684073,0,0
2016-06-01,,,,,,,,,,3.1376893809336e-07,0.08088097867667156,0,0
2016-06-02,,,,,,,,,,3.146182502561801e-07,0.08025222628238936,0,0
2016-06-03,,,,,,,,,,3.135618888779e-07,0.0801006278432797,0,0
2016-06-04,,,,,,,,,,3.082095761402601e-07,0.07965580096379649,0,0
2016-06-05,,,,,,,,,,3.134900071229e-07,0.07657267607035477,0,0
2016-06-06,,,,,,,,,,3.241208627003601e-07,0.07665407920521768,0,0
2016-06-07,,,,,,,,,,3.420578720441301e-07,0.07698898364442648,0,0
2016-06-08,,,,,,,,,,3.3274043555244e-07,0.07703195680812348,0,0
2016-06-09,,,,,,,,,,3.2832691597314e-07,0.07712410181228496,0,0
2016-06-10,,,,,,,,,,3.185736812918001e-07,0.07695887708339229,0,0
2016-06-11,,,,,,,,,,3.1347416025483e-07,0.07585392057428894,0,0
2016-06-12,,,,,,,,,,3.573494827583401e-07,0.0752959874832579,0,0
2016-06-13,,,,,,,,,,3.994246735479001e-07,0.06650750160057721,0,0
2016-06-14,,,,,,,,,,4.274180355467e-07,0.06480338354511819,0,0
